k	val1		val2		err1	err2
0	0.000000	0.000000		-nan	-nan
1	-0.900000	-0.900000		0.000000	0.000000
2	-0.989999	-0.990000		0.000001	0.000000
3	-0.998964	-0.999000		0.000036	0.000000
4	-1.000000	-0.999900		0.000100	0.000000
5	-1.000000	-0.999990		0.000010	0.000000
6	-0.999756	-0.999999		0.000243	0.000000
7	-1.000000	-1.000000		0.000000	0.000000
8	-1.000000	-1.000000		0.000000	0.000000
9	-1.000000	-1.000000		0.000000	0.000000
10	-1.000000	-1.000000		0.000000	0.000000
11	-1.000000	-1.000000		0.000000	0.000000
12	-1.000000	-1.000000		0.000000	0.000000
